@relation trainset
@attribute Z1 real
@attribute Y1 real
@attribute X1 real
@attribute Z2 real
@attribute Y2 real
@attribute X2 real
@data
0.03306606, -0.33947325, -0.39622241, -0.669481, 1.541913, -2.11814195
-0.70348877, -0.39542481, 0.40040172, -0.79443711, 1.01909457, -1.853871
-0.77908082, -1.12938973, 0.57785187, -0.91958628, 0.53791155, -1.70944467
0.7385498, -2.41207802, 1.19669051, -0.84898991, -0.12615585, -1.28874333
-1.27087027, -1.80176314, 1.13391754, -1.44517996, -0.41517858, -1.72497192
-2.04707506, -1.68334139, 0.34041699, -0.32900028, 0.13886316, -1.45335667
-0.77528275, -1.37315919, -1.3234509, 0.95414986, -0.45814296, -1.57525942
-1.62007558, -2.06473398, -1.37513012, -0.68228997, -0.32928498, -1.27343902
-2.67220867, 0.12705559, -2.19061071, -0.24222924, 0.21439864, -0.73422106
-3.13112355, 0.55318261, -1.18055721, -0.10072001, 0.40001194, -1.35053671
-2.35986788, -0.91386869, 0.7307867, -0.93272071, 1.70620576, -2.25972496
-0.3901417, -1.16628544, 1.11490063, -0.25263286, 1.76459766, -1.41021254
-0.76456784, -1.19154981, 1.62255021, -1.18112367, 1.02904775, -0.54594347
-2.03900384, -1.19443317, 0.23475701, -0.9438391, 0.54871858, -0.92900011
-1.23069359, -1.59319415, 0.01410785, -0.85877899, -0.28511697, -1.09542445
0.22118069, 0.07680632, -1.06784822, -1.45426886, 0.15468205, -1.91038266
0.07340476, -0.20294794, -0.93743108, -0.03113856, 0.69107647, -1.32470648
-1.32371332, -0.46024314, -0.35024322, 1.32824212, -1.06227077, 0.19003961
-0.91390433, -0.34280376, -0.36235957, 0.49244719, -1.07450411, -0.9769769
-1.64419579, -1.38117461, 0.95905889, -0.37126212, 0.53060833, -2.66674363
-2.07927119, -1.26256487, 0.84756287, -0.27401953, 0.13452551, -0.6033056
-1.7813676, -1.54682103, 0.83899182, -0.96668724, 1.77961155, -1.59701354
-2.46281592, -1.40506739, -0.07684264, -0.53854398, 1.96314132, -2.73097005
-0.86087008, -0.95709442, -0.87698259, -1.03840251, 1.18233167, -1.30531748
-0.42086345, -0.64751696, -0.97030477, -1.01780752, 0.56946312, -1.08323774
0.13931096, -0.41253391, -0.66193064, -0.70414002, -1.41649843, -0.53762717
0.75905191, -0.65576044, -0.24381684, -0.44258159, -0.31238114, -2.39671449
-0.33124684, -0.66327885, 0.09263139, 1.0528877, -0.31803844, -0.76856673
-1.70752086, -1.26818936, 0.79096041, -0.27113871, -0.32621509, -0.36150244
-1.58606533, -1.23198243, 0.62336283, -0.23409415, 0.08717351, -1.8394139
-0.88869342, -0.7478847, 0.46650684, -0.3979387, 0.63399273, -1.34522342
-1.01574529, -1.46372432, 0.09575416, -0.85901442, 2.32270255, -1.82322978
